subj_id,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,specimen_id
,F,F,F,F,F,F,F,F,F,F,F,F,F,F,H,H,H,H,H,H,H,H,H,H,H,H,H,H,
,d,d,d,d,d,d,d,v,v,v,v,v,v,v,d,d,d,d,d,d,d,v,v,v,v,v,v,v,
,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,ll4,ll7,lv,s,t,ws,wv,
9,0.124304,0.135272,0.180058,0.257196416895726,0.037759503490895,0.217174555065735,0.089572,0.138769,0.14704,0.116713,0.243597414643506,0.001842796117749,0.217492567801753,0.067087,0.113375,0.119724,0.161060949770896,0.252934314461285,0.049890615436738,0.198120858028629,0.078086326511112,0.126073,0.140242322703194,0.108430825619218,0.233106058258896,0.006157105165979,0.198185207583714,0.062819163103308,0
10,0.1353,0.1584,0.174075,0.320763776983936,0.033216229898766,0.216189357103906,0.076725,0.149687,0.139763,0.135691732514932,0.323682559896266,0.049894310343232,0.217028814448681,0.059687403704634,0.115189,0.135143,0.164167,0.311740267397396,0.025634510916157,0.206803955987307,0.069839,0.139077,0.118558425484792,0.119988,0.322192738703094,0.045258433193244,0.203818800791291,0.047268,0
11,0.135464,0.13216,0.151158,0.248737114705466,0.005782,0.206580932140408,0.080122,0.129368,0.13184,0.10712,0.238376805583094,0.019383053503277,0.20455291735881,0.069216,0.111438,0.11325,0.143148,0.23556,0.014496,0.18358520136438,0.06795,0.126907,0.108861961997266,0.103169,0.237774719903105,0.029204602615266,0.183594742988464,0.05478,0
12,0.131493,0.126906264873953,0.145552,0.253020106009384,0.039641190970447,0.192692774669939,0.0827,0.123971,0.128897,0.11344732597661,0.231284603467243,-0.011183352805427,0.189658108091903,0.071445871070343,0.10101,0.119026836712042,0.13631961374036,0.230041088503771,0.042004295498574,0.168411475262228,0.066827713562563,0.11856,0.124032,0.097584,0.227271058747039,0.011536868138235,0.162351370058894,0.051984,0
13,0.117493141441849,0.130668681925066,0.158148,0.251286746041251,0.004330956923347,0.210437466512026,0.080316,0.132825,0.131175,0.11385,0.257447591754128,0.031827129624694,0.207129225967752,0.063525,0.112716,0.117130816649065,0.134532,0.25125424311044,0.019138442078384,0.184177397888557,0.065448,0.119734,0.11882,0.099626,0.258461682150372,0.038721310359017,0.183777650665145,0.044786,0
14,0.170774,0.141759,0.166629,0.356066839458549,0.047848428889497,0.226037457393681,0.078755,0.130192,0.146672,0.120304,0.34373444196356,0.057569877695946,0.219253688169663,0.050264,0.146934,0.119724,0.159632,0.332573537807806,0.045443178194818,0.210582274527084,0.068025,0.125856,0.14592,0.10488,0.345580616123069,0.057500501710836,0.209809559362771,0.041952,0
15,0.154275,0.150436982399876,0.190976692889116,0.349952708412151,-0.008612357123001,0.270963208987862,0.094878586888718,0.1485,0.150975,0.1683,0.300463142498377,0.024951515393618,0.269901117309655,0.07425,0.141492,0.127887,0.186842,0.315360913172511,-0.018077259003602,0.250537305304021,0.089793,0.128794,0.128794,0.178593302495393,0.291317895327424,-0.012484120531738,0.244528612978113,0.068955864290139,0
16,0.135190054324175,0.159225,0.188925,0.373878859057315,0.062395472739473,0.285151795102188,0.094875,0.145374402982725,0.146316,0.140562,0.372398660819289,0.065099573706046,0.282180759407866,0.073158,0.128794,0.148749892221344,0.17233,0.371980593310995,0.057686364392061,0.258291242501561,0.091607,0.134828,0.123896,0.152137,0.33252623131717,0.049367780802171,0.25622431716174,0.064681,0
17,0.166227,0.15713,0.151341,0.381807190390647,0.057088228363741,0.277056108732509,0.089316,0.1485,0.1716,0.149325,0.293210617560142,-0.002188572589534,0.273175925458302,0.0825,0.157603,0.141205,0.152137,0.357624070365796,0.054629557003048,0.263789170067689,0.079257,0.138168,0.146349,0.155439,0.282712152427164,-0.005748951033024,0.260285289157878,0.078174,0
18,0.18238,0.172432,0.19067,0.307613740411575,-0.056503125015557,0.265436686539371,0.097822,0.17388,0.175536,0.134964,0.337045839066439,0.050782845003001,0.265767363684859,0.093564,0.159075,0.15453,0.183618,0.286479249379427,-0.057849645460534,0.24117467676769,0.089082,0.151469,0.153283,0.14512,0.313928148232999,0.024318362702281,0.240067325958782,0.070746,0
19,0.1654,0.167881,0.196826,0.290507808523282,-0.017925101028505,0.256263268105283,0.101721,0.167031,0.165369,0.146256,0.236916628038219,-0.025327254247095,0.252221847669864,0.093072,0.146349,0.146349,0.186345,0.279313085010352,-0.025360486535921,0.239819284055724,0.092718,0.14299,0.14842,0.15204,0.214807426431211,-0.037799333096348,0.240075878213535,0.07783,0
20,0.165423,0.152255,0.162397544885351,0.298759202305134,0.028457510224033,0.261715294021958,0.070782784721993,0.144025,0.169538,0.148963,0.249423317516627,-0.012559163205318,0.254340290701257,0.065017,0.144213,0.127887,0.156911,0.277015381105454,0.033935914446871,0.242338790665052,0.065304,0.125166,0.150562,0.151469,0.237801839582876,-0.010620798646737,0.240356711314662,0.053513,0
21,0.141556,0.136618,0.1646,0.275005175994926,0.035152240024492,0.223216656856069,0.066663,0.134312,0.141728,0.137335015509251,0.291100669322487,0.021291986142779,0.220310234351471,0.057685885414025,0.13013,0.12376,0.14651,0.26118426790295,0.036685704500229,0.226209600370983,0.06461,0.119196,0.122808,0.141771,0.270214357325809,-0.002398002518553,0.218841076576131,0.052374,0
22,0.159418,0.167678,0.162722,0.314092948816111,0.022066097365667,0.239682371483595,0.0826,0.152168,0.157957,0.147206,0.292759168076766,-0.007373866286996,0.235731269139247,0.062025,0.137259,0.134532,0.152712,0.296647522795994,0.033683344919996,0.221113198995447,0.077265,0.127323,0.138159,0.160734,0.270252075163171,-0.014380115521094,0.214921588101335,0.062307,0
23,0.172843,0.29772,0.163746,0.183828539378411,0.001972076923077,0.252397636092337,0.077738,0.150049,0.177406,0.150049,0.291699644655252,0.021794272862801,0.250684446111042,0.072123,0.135143,0.137864,0.155097,0.269476706186268,0.010973809952116,0.220391668526739,0.068932,0.133496,0.137104,0.140712,0.269969368492057,0.02083483623987,0.218741974115623,0.055924,0
24,0.153822,0.167054,0.139763,0.332825119972937,0.067840881208218,0.238543272384698,0.077738,0.14994,0.14994,0.130781,0.343214196119566,0.041367777061463,0.237878023493134,0.054978,0.12649,0.13377,0.13286,0.309508378077234,0.060484320626539,0.206311269687334,0.07007,0.14118,0.133035,0.13575,0.316352843870574,0.036298400894698,0.203302967575488,0.05611,0
25,0.153252384950009,0.149107,0.207656221897224,0.179958849207256,-0.056625497863153,0.235775790415386,0.09246675217612,0.142443,0.152439,0.105304898996408,0.218323881142215,0.034270690452865,0.235384045491618,0.076640527040202,0.156348,0.114534,0.179073,0.189179039412404,-0.058016324360469,0.217252901665317,0.084537,0.114534,0.129655783613506,0.121806,0.193830262830653,0.016560318698079,0.21643555330167,0.073629,0
26,0.155397,0.155523281923522,0.205257,0.247777390300245,-0.070080756280371,0.23410171191386,0.09141,0.157059,0.161939748071449,0.159552,0.20973491769374,-0.072420777524743,0.22521479847026,0.082269,0.134236,0.131515,0.175051,0.207710921246332,-0.071263552078504,0.21321446102223,0.078002,0.128592,0.1368,0.144096,0.19894982651915,-0.059845922116175,0.216144,0.062016,0
27,0.177406,0.163496815502726,0.195644,0.311194277379903,-0.007079294202666,0.261324417016474,0.072123,0.167256,0.16974,0.164772,0.32543033481223,0.012644832486831,0.262496895067351,0.067068,0.153283,0.144213,0.185028,0.29038168416758,-0.021360709959874,0.249466223866078,0.069839,0.143306,0.14512,0.161446,0.310227148813575,-0.004744764750524,0.254997690691504,0.048978,0
